12,,12,3/1/2016 9:18,C/In,OverTime In,FOT
12,,12,3/1/2016 18:21,C/Out,OverTime Out,FOT
12,,12,3/2/2016 9:14,C/In,OverTime In,FOT
12,,12,3/2/2016 18:10,C/Out,OverTime Out,FOT
12,,12,3/3/2016 9:14,C/In,OverTime In,FOT
12,,12,3/3/2016 18:43,C/Out,OverTime Out,FOT
12,,12,3/6/2016 9:44,C/In,OverTime In,FOT
12,,12,3/6/2016 18:42,C/Out,OverTime Out,FOT
12,,12,3/7/2016 9:22,C/In,OverTime In,FOT
12,,12,3/7/2016 17:35,C/Out,OverTime Out,FOT
12,,12,3/8/2016 10:08,C/In,OverTime In,FOT
12,,12,3/8/2016 17:23,C/Out,OverTime Out,FOT
12,,12,3/9/2016 9:29,C/In,OverTime In,FOT
12,,12,3/9/2016 17:32,C/Out,OverTime Out,FOT
12,,12,3/10/2016 8:43,C/In,OverTime In,FOT
12,,12,3/10/2016 17:08,C/Out,OverTime Out,FOT
12,,12,3/13/2016 8:49,C/In,OverTime In,FOT
12,,12,3/13/2016 17:48,C/Out,OverTime Out,FOT
12,,12,3/14/2016 9:32,C/In,OverTime In,FOT
12,,12,3/14/2016 18:44,C/Out,OverTime Out,FOT
12,,12,3/15/2016 9:22,C/In,OverTime In,FOT
12,,12,3/15/2016 18:15,C/Out,OverTime Out,FOT
12,,12,3/16/2016 9:45,C/In,,Invalid
12,,12,3/17/2016 9:23,C/In,OverTime In,FOT
12,,12,3/17/2016 18:05,C/Out,OverTime Out,FOT
12,,12,3/20/2016 9:50,C/In,OverTime In,FOT
12,,12,3/20/2016 18:40,C/Out,OverTime Out,FOT
12,,12,3/21/2016 9:50,C/In,OverTime In,FOT
12,,12,3/21/2016 18:24,C/Out,OverTime Out,FOT
12,,12,3/22/2016 8:57,C/In,OverTime In,FOT
12,,12,3/22/2016 18:36,C/Out,OverTime Out,FOT
12,,12,3/23/2016 9:08,C/In,OverTime In,FOT
12,,12,3/23/2016 18:26,C/Out,OverTime Out,FOT
12,,12,3/24/2016 8:57,C/In,OverTime In,FOT
12,,12,3/24/2016 17:08,C/Out,OverTime Out,FOT
12,,12,3/26/2016 8:58,C/In,OverTime In,FOT
