12;;12;4/3/2016 9:07;C/In;OverTime In;FOT
12;;12;4/3/2016 18:25;C/Out;OverTime Out;FOT
12;;12;4/4/2016 9:46;C/In;OverTime In;FOT
12;;12;4/4/2016 17:31;C/Out;OverTime Out;FOT
12;;12;4/5/2016 9:09;C/In;OverTime In;FOT
12;;12;4/5/2016 17:38;C/Out;OverTime Out;FOT
12;;12;4/6/2016 8:58;C/In;OverTime In;FOT
12;;12;4/6/2016 18:43;C/Out;OverTime Out;FOT
12;;12;4/7/2016 9:02;C/In;OverTime In;FOT
12;;12;4/7/2016 18:31;C/Out;OverTime Out;FOT
12;;12;4/10/2016 9:34;C/In;OverTime In;FOT
12;;12;4/10/2016 17:47;C/Out;OverTime Out;FOT
12;;12;4/11/2016 9:04;C/In;OverTime In;FOT
12;;12;4/11/2016 19:02;C/Out;OverTime Out;FOT
12;;12;4/12/2016 9:29;C/In;OverTime In;FOT
12;;12;4/12/2016 19:15;C/Out;OverTime Out;FOT
12;;12;4/13/2016 9:08;C/In;OverTime In;FOT
12;;12;4/13/2016 18:15;C/Out;OverTime Out;FOT
12;;12;4/14/2016 10:22;C/In;OverTime In;FOT
12;;12;4/14/2016 19:08;C/Out;OverTime Out;FOT
12;;12;4/17/2016 9:35;C/In;OverTime In;FOT
12;;12;4/17/2016 19:02;C/Out;OverTime Out;FOT
12;;12;4/18/2016 9:27;C/In;OverTime In;FOT
12;;12;4/18/2016 18:09;C/Out;OverTime Out;FOT
12;;12;4/19/2016 9:32;C/In;OverTime In;FOT
12;;12;4/19/2016 18:44;C/Out;OverTime Out;FOT
12;;12;4/20/2016 9:45;C/In;OverTime In;FOT
12;;12;4/20/2016 17:50;C/Out;OverTime Out;FOT
12;;12;4/23/2016 9:12;C/In;OverTime In;FOT
12;;12;4/23/2016 18:40;C/In;OverTime Out;FOT
12;;12;4/24/2016 9:37;C/In;OverTime In;FOT
12;;12;4/24/2016 17:52;C/Out;OverTime Out;FOT
12;;12;4/25/2016 10:05;C/In;OverTime In;FOT
12;;12;4/25/2016 17:24;C/Out;OverTime Out;FOT
12;;12;4/26/2016 9:23;C/In;OverTime In;FOT
12;;12;4/26/2016 17:50;C/Out;OverTime Out;FOT
