AC-No.;No.;Name;Time;State;New State;Exception;Operation;;;;;;;;;
30;;30;12/17/2015 4:21 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
30;;30;12/20/2015 9:01 AM;C/In;OverTime In;FOT;;;;;;;;;;
30;;30;12/20/2015 7:21 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
30;;30;12/21/2015 8:59 AM;C/In;OverTime In;FOT;;;;;;;;;;
30;;30;12/21/2015 7:58 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
30;;30;12/22/2015 9:10 AM;C/In;;Invalid;;;;;;;;;;
30;;30;12/22/2015 9:54 PM;C/Out;;Invalid;;;;;;;;;;
30;;30;12/23/2015 8:36 AM;C/In;OverTime In;FOT;;;;;;;;;;
30;;30;12/23/2015 6:40 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
30;;30;12/27/2015 11:03 AM;C/In;OverTime In;FOT;;;;;;;;;;
30;;30;12/27/2015 6:36 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
30;;30;12/28/2015 8:51 AM;C/In;;Invalid;;;;;;;;;;
30;;30;12/28/2015 8:55 PM;C/Out;;Invalid;;;;;;;;;;
30;;30;12/29/2015 10:13 AM;C/In;;Invalid;;;;;;;;;;
30;;30;12/29/2015 9:40 PM;C/Out;;Invalid;;;;;;;;;;
30;;30;12/30/2015 9:14 AM;C/In;;Invalid;;;;;;;;;;
30;;30;12/30/2015 8:37 PM;C/Out;;Invalid;;;;;;;;;;
30;;30;12/31/2015 9:08 AM;C/In;;Invalid;;;;;;;;;;
32;;32;12/1/2015 9:03 AM;C/In;OverTime In;FOT;;;;;;;;;;
32;;32;12/1/2015 5:12 PM;C/In;OverTime Out;FOT;;;;;;;;;;
32;;32;12/2/2015 8:52 AM;C/In;OverTime In;FOT;;;;;;;;;;
32;;32;12/2/2015 5:11 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
32;;32;12/3/2015 9:10 AM;C/In;;Invalid;;;;;;;;;;
32;;32;12/6/2015 9:06 AM;C/In;OverTime In;FOT;;;;;;;;;;
32;;32;12/6/2015 5:06 PM;C/In;OverTime Out;FOT;;;;;;;;;;
32;;32;12/7/2015 9:05 AM;C/In;OverTime In;FOT;;;;;;;;;;
32;;32;12/7/2015 5:09 PM;C/In;OverTime Out;FOT;;;;;;;;;;
32;;32;12/8/2015 9:37 AM;C/In;OverTime In;FOT;;;;;;;;;;
32;;32;12/8/2015 5:11 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
32;;32;12/9/2015 9:10 AM;C/In;OverTime In;FOT;;;;;;;;;;
32;;32;12/9/2015 5:09 PM;C/In;OverTime Out;FOT;;;;;;;;;;
32;;32;12/10/2015 9:03 AM;C/In;OverTime In;FOT;;;;;;;;;;
32;;32;12/10/2015 5:13 PM;C/In;OverTime Out;FOT;;;;;;;;;;
32;;32;12/14/2015 9:22 AM;C/In;OverTime In;FOT;;;;;;;;;;
32;;32;12/14/2015 5:11 PM;C/In;OverTime Out;FOT;;;;;;;;;;
32;;32;12/15/2015 8:55 AM;C/In;OverTime In;FOT;;;;;;;;;;
32;;32;12/15/2015 5:09 PM;C/In;OverTime Out;FOT;;;;;;;;;;
32;;32;12/16/2015 9:12 AM;C/In;OverTime In;FOT;;;;;;;;;;
32;;32;12/16/2015 5:09 PM;C/In;OverTime Out;FOT;;;;;;;;;;
32;;32;12/17/2015 9:09 AM;C/In;OverTime In;FOT;;;;;;;;;;
