10;;10;6/6/2016 12:14 AM;C/Out;;Invalid;
12;;12;6/1/2016 7:00 PM;C/Out;;Invalid;
12;;12;6/2/2016 9:09 AM;C/In;OverTime In;FOT;
12;;12;6/2/2016 7:38 PM;C/Out;OverTime Out;FOT;
12;;12;6/5/2016 9:43 AM;C/In;OverTime In;FOT;
12;;12;6/5/2016 5:23 PM;C/Out;OverTime Out;FOT;
12;;12;6/6/2016 10:00 AM;C/In;OverTime In;FOT;
12;;12;6/6/2016 5:16 PM;C/Out;OverTime Out;FOT;
12;;12;6/7/2016 10:22 AM;C/In;OverTime In;FOT;
12;;12;6/7/2016 4:56 PM;C/Out;OverTime Out;FOT;
12;;12;6/8/2016 10:05 AM;C/In;OverTime In;FOT;
12;;12;6/8/2016 5:11 PM;C/Out;OverTime Out;FOT;
12;;12;6/9/2016 10:20 AM;C/In;OverTime In;FOT;
12;;12;6/9/2016 5:17 PM;C/Out;OverTime Out;FOT;
12;;12;6/12/2016 8:32 AM;C/In;OverTime In;FOT;
12;;12;6/12/2016 5:25 PM;C/Out;OverTime Out;FOT;
12;;12;6/12/2016 5:26 PM;C/Out;;Invalid;
12;;12;6/13/2016 9:36 AM;C/In;OverTime In;FOT;
12;;12;6/13/2016 5:45 PM;C/Out;OverTime Out;FOT;
12;;12;6/14/2016 10:22 AM;C/In;OverTime In;FOT;
12;;12;6/14/2016 5:39 PM;C/Out;OverTime Out;FOT;
12;;12;6/15/2016 9:40 AM;C/In;OverTime In;FOT;
12;;12;6/15/2016 5:55 PM;C/Out;OverTime Out;FOT;
12;;12;6/16/2016 10:18 AM;C/In;OverTime In;FOT;
12;;12;6/16/2016 5:43 PM;C/Out;OverTime Out;FOT;
12;;12;6/19/2016 10:08 AM;C/In;OverTime In;FOT;
12;;12;6/19/2016 5:08 PM;C/Out;OverTime Out;FOT;
12;;12;6/20/2016 10:11 AM;C/In;OverTime In;FOT;
12;;12;6/20/2016 5:37 PM;C/Out;OverTime Out;FOT;
12;;12;6/22/2016 10:20 AM;C/In;OverTime In;FOT;
12;;12;6/22/2016 5:39 PM;C/Out;OverTime Out;FOT;
12;;12;6/23/2016 10:24 AM;C/In;OverTime In;FOT;
12;;12;6/23/2016 5:52 PM;C/Out;OverTime Out;FOT;
12;;12;6/26/2016 9:12 AM;C/In;OverTime In;FOT;
12;;12;6/26/2016 5:36 PM;C/Out;OverTime Out;FOT;
12;;12;6/27/2016 9:59 AM;C/In;OverTime In;FOT;
12;;12;6/27/2016 5:19 PM;C/Out;OverTime Out;FOT;
12;;12;6/28/2016 10:00 AM;C/In;OverTime In;FOT;
12;;12;6/28/2016 5:48 PM;C/Out;OverTime Out;FOT;
12;;12;6/29/2016 10:30 AM;C/In;OverTime In;FOT;
12;;12;6/29/2016 6:00 PM;C/Out;OverTime Out;FOT;
12;;12;6/30/2016 10:29 AM;C/In;OverTime In;FOT;
12;;12;6/30/2016 5:37 PM;C/Out;OverTime Out;FOT;
13;;13;6/1/2016 5:10 PM;C/Out;;Invalid;
13;;13;6/2/2016 9:01 AM;C/In;OverTime In;FOT;
13;;13;6/2/2016 5:06 PM;C/Out;OverTime Out;FOT;
13;;13;6/5/2016 9:10 AM;C/In;OverTime In;FOT;
13;;13;6/5/2016 5:09 PM;C/Out;OverTime Out;FOT;
13;;13;6/6/2016 10:46 AM;C/In;OverTime In;FOT;
13;;13;6/6/2016 4:04 PM;C/Out;OverTime Out;FOT;
13;;13;6/7/2016 8:59 AM;C/In;OverTime In;FOT;
13;;13;6/7/2016 4:01 PM;C/Out;OverTime Out;FOT;
13;;13;6/8/2016 9:06 AM;C/In;OverTime In;FOT;
13;;13;6/8/2016 3:55 PM;C/Out;OverTime Out;FOT;
13;;13;6/9/2016 9:14 AM;C/In;OverTime In;FOT;
13;;13;6/9/2016 4:04 PM;C/Out;OverTime Out;FOT;
13;;13;6/12/2016 9:14 AM;C/In;OverTime In;FOT;
