39;;39;09:21;18:28;OUR COMPANY;FOT;;;9:6;9:6;3/14/2017
39;;39;09:19;17:33;OUR COMPANY;FOT;;;8:13;8:13;3/15/2017
39;;39;07:16;15:26;OUR COMPANY;FOT;;;8:9;8:9;3/16/2017
39;;39;09:20;17:04;OUR COMPANY;FOT;;;7:44;7:44;3/19/2017
39;;39;09:10;20:08;OUR COMPANY;FOT;;;10:57;10:57;3/20/2017
39;;39;09:00;18:09;OUR COMPANY;FOT;;;9:8;9:8;3/21/2017
39;;39;09:27;19:42;OUR COMPANY;FOT;;;10:15;10:15;3/22/2017
39;;39;07:46;14:53;OUR COMPANY;FOT;;;7:6;7:6;3/23/2017
39;;39;09:09;17:25;OUR COMPANY;FOT;;;8:16;8:16;3/26/2017
39;;39;09:13;17:37;OUR COMPANY;FOT;;;8:23;8:23;3/27/2017
39;;39;08:54;17:24;OUR COMPANY;FOT;;;8:29;8:29;3/28/2017
39;;39;08:40;17:03;OUR COMPANY;FOT;;;8:23;8:23;3/29/2017
39;;39;08:45;17:54;OUR COMPANY;FOT;;;9:8;9:8;3/30/2017
8;;8;08:14;16:10;OUR COMPANY;FOT;;;7:55;7:55;3/1/2017
8;;8;08:00;16:11;OUR COMPANY;FOT;;;8:10;8:10;3/2/2017
8;;8;07:46;16:10;OUR COMPANY;FOT;;;8:23;8:23;3/6/2017
8;;8;08:17;16:00;OUR COMPANY;FOT;;;7:42;7:42;3/7/2017
8;;8;08:18;16:12;OUR COMPANY;FOT;;;7:54;7:54;3/8/2017
8;;8;08:08;15:46;OUR COMPANY;FOT;;;7:37;7:37;3/9/2017
8;;8;08:17;16:11;OUR COMPANY;FOT;;;7:53;7:53;3/26/2017
8;;8;08:09;16:09;OUR COMPANY;FOT;;;8:00;8:00;3/28/2017
8;;8;07:43;16:15;OUR COMPANY;FOT;;;8:31;8:31;3/29/2017
8;;8;08:12;16:28;OUR COMPANY;FOT;;;8:15;8:15;3/30/2017
