10,,10,2/2/2016 10:52 AM,C/In,,Invalid,
10,,10,2/3/2016 11:18 PM,C/Out,,Invalid,
10,,10,2/3/2016 11:53 PM,C/Out,,Repeat,
10,,10,2/3/2016 11:53 PM,C/Out,,Repeat,
10,,10,2/3/2016 11:53 PM,C/Out,,Invalid,
10,,10,2/8/2016 3:52 PM,C/Out,,Invalid,
10,,10,2/17/2016 4:03 PM,C/Out,,Invalid,
12,,12,2/1/2016 9:36 AM,C/In,OverTime In,FOT,
12,,12,2/1/2016 6:06 PM,C/Out,OverTime Out,FOT,
12,,12,2/2/2016 9:53 AM,C/In,OverTime In,FOT,
12,,12,2/2/2016 5:56 PM,C/Out,OverTime Out,FOT,
12,,12,2/3/2016 9:26 AM,C/In,OverTime In,FOT,
12,,12,2/3/2016 6:25 PM,C/Out,OverTime Out,FOT,
12,,12,2/4/2016 8:41 AM,C/In,OverTime In,FOT,
12,,12,2/4/2016 7:09 PM,C/Out,OverTime Out,FOT,
12,,12,2/7/2016 9:24 AM,C/In,OverTime In,FOT,
12,,12,2/7/2016 5:58 PM,C/Out,OverTime Out,FOT,
12,,12,2/7/2016 6:05 PM,C/Out,,Invalid,
12,,12,2/8/2016 9:29 AM,C/In,OverTime In,FOT,
12,,12,2/8/2016 5:47 PM,C/Out,OverTime Out,FOT,
12,,12,2/9/2016 9:53 AM,C/In,OverTime In,FOT,
12,,12,2/9/2016 5:28 PM,C/Out,OverTime Out,FOT,
12,,12,2/11/2016 8:43 AM,C/In,OverTime In,FOT,
12,,12,2/11/2016 5:58 PM,C/Out,OverTime Out,FOT,
12,,12,2/14/2016 9:23 AM,C/In,OverTime In,FOT,
12,,12,2/14/2016 6:02 PM,C/Out,OverTime Out,FOT,
12,,12,2/15/2016 9:31 AM,C/In,OverTime In,FOT,
12,,12,2/15/2016 5:45 PM,C/Out,OverTime Out,FOT,
12,,12,2/16/2016 9:21 AM,C/In,OverTime In,FOT,
12,,12,2/16/2016 5:49 PM,C/Out,OverTime Out,FOT,
12,,12,2/17/2016 9:14 AM,C/In,OverTime In,FOT,
12,,12,2/17/2016 6:07 PM,C/Out,OverTime Out,FOT,
12,,12,2/18/2016 9:20 AM,C/In,OverTime In,FOT,
12,,12,2/18/2016 7:26 PM,C/Out,OverTime Out,FOT,
12,,12,2/21/2016 9:12 AM,C/In,OverTime In,FOT,
12,,12,2/21/2016 6:37 PM,C/Out,OverTime Out,FOT,
12,,12,2/22/2016 9:19 AM,C/In,OverTime In,FOT,
12,,12,2/22/2016 6:34 PM,C/Out,OverTime Out,FOT,
12,,12,2/23/2016 9:07 AM,C/In,OverTime In,FOT,
12,,12,2/23/2016 6:03 PM,C/Out,OverTime Out,FOT,
12,,12,2/24/2016 9:47 AM,C/In,OverTime In,FOT,
12,,12,2/24/2016 6:30 PM,C/Out,OverTime Out,FOT,
12,,12,2/25/2016 8:52 AM,C/In,OverTime In,FOT,
12,,12,2/25/2016 6:33 PM,C/Out,OverTime Out,FOT,
12,,12,2/25/2016 6:33 PM,C/Out,,Invalid,
12,,12,2/27/2016 9:11 AM,C/In,OverTime In,FOT,
12,,12,2/27/2016 5:37 PM,C/Out,OverTime Out,FOT,
12,,12,2/28/2016 9:18 AM,C/In,OverTime In,FOT,
12,,12,2/28/2016 5:20 PM,C/Out,OverTime Out,FOT,
12,,12,2/29/2016 9:12 AM,C/In,OverTime In,FOT,
12,,12,2/29/2016 6:16 PM,C/Out,OverTime Out,FOT,
30,,30,2/1/2016 8:29 AM,C/In,OverTime In,FOT,
30,,30,2/1/2016 6:58 PM,C/Out,OverTime Out,FOT,
30,,30,2/2/2016 9:10 AM,C/In,OverTime In,FOT,
30,,30,2/2/2016 3:12 PM,C/In,OverTime Out,FOT,
30,,30,2/7/2016 10:20 AM,C/In,OverTime In,FOT,
30,,30,2/7/2016 6:42 PM,C/Out,OverTime Out,FOT,
30,,30,2/8/2016 9:12 AM,C/In,OverTime In,FOT,
30,,30,2/8/2016 6:34 PM,C/Out,OverTime Out,FOT,
30,,30,2/9/2016 9:09 AM,C/In,OverTime In,FOT,
30,,30,2/9/2016 4:00 PM,C/Out,OverTime Out,FOT,
30,,30,2/11/2016 9:17 AM,C/In,OverTime In,FOT,
30,,30,2/11/2016 5:08 PM,C/Out,OverTime Out,FOT,
30,,30,2/14/2016 10:40 AM,C/In,OverTime In,FOT,
30,,30,2/14/2016 7:04 PM,C/Out,OverTime Out,FOT,
30,,30,2/15/2016 9:04 AM,C/In,,Invalid,
30,,30,2/15/2016 8:15 PM,C/Out,,Invalid,
30,,30,2/16/2016 8:41 PM,C/Out,,Invalid,
30,,30,2/17/2016 9:12 AM,C/In,OverTime In,FOT,
30,,30,2/17/2016 8:00 PM,C/Out,OverTime Out,FOT,
30,,30,2/18/2016 9:02 AM,C/In,OverTime In,FOT,
30,,30,2/18/2016 4:33 PM,C/Out,OverTime Out,FOT,
30,,30,2/21/2016 11:15 AM,C/In,OverTime In,FOT,
30,,30,2/21/2016 7:41 PM,C/Out,OverTime Out,FOT,
30,,30,2/22/2016 8:59 AM,C/In,OverTime In,FOT,
30,,30,2/22/2016 7:41 PM,C/Out,OverTime Out,FOT,
30,,30,2/23/2016 8:55 AM,C/In,OverTime In,FOT,
